blind_id,candidate_id,patch_path
B028,"T06-fail-open__model-b__r04","candidates/T06-fail-open__model-b__r04/candidate.diff"
B029,"T08-weak-hash__model-a__r04","candidates/T08-weak-hash__model-a__r04/candidate.diff"
B030,"T07-sensitive-logging__model-b__r02","candidates/T07-sensitive-logging__model-b__r02/candidate.diff"
B031,"T06-fail-open__model-a__r03","candidates/T06-fail-open__model-a__r03/candidate.diff"
B032,"T01-sql-injection__model-b__r02","candidates/T01-sql-injection__model-b__r02/candidate.diff"
B033,"T06-fail-open__model-a__r02","candidates/T06-fail-open__model-a__r02/candidate.diff"
B034,"T11-open-redirect__model-b__r01","candidates/T11-open-redirect__model-b__r01/candidate.diff"
B035,"T04-ssrf__model-a__r02","candidates/T04-ssrf__model-a__r02/candidate.diff"
B036,"T10-zip-slip__model-b__r03","candidates/T10-zip-slip__model-b__r03/candidate.diff"
B037,"T12-role-authorisation__model-a__r03","candidates/T12-role-authorisation__model-a__r03/candidate.diff"
B038,"T07-sensitive-logging__model-a__r01","candidates/T07-sensitive-logging__model-a__r01/candidate.diff"
B039,"T12-role-authorisation__model-b__r03","candidates/T12-role-authorisation__model-b__r03/candidate.diff"
B040,"T01-sql-injection__model-a__r05","candidates/T01-sql-injection__model-a__r05/candidate.diff"
B041,"T11-open-redirect__model-a__r01","candidates/T11-open-redirect__model-a__r01/candidate.diff"
B042,"T03-command-injection__model-b__r01","candidates/T03-command-injection__model-b__r01/candidate.diff"
B043,"T07-sensitive-logging__model-b__r01","candidates/T07-sensitive-logging__model-b__r01/candidate.diff"
B044,"T04-ssrf__model-b__r04","candidates/T04-ssrf__model-b__r04/candidate.diff"
B045,"T10-zip-slip__model-a__r04","candidates/T10-zip-slip__model-a__r04/candidate.diff"
B046,"T11-open-redirect__model-b__r04","candidates/T11-open-redirect__model-b__r04/candidate.diff"
B047,"T07-sensitive-logging__model-b__r04","candidates/T07-sensitive-logging__model-b__r04/candidate.diff"
B048,"T09-certificate-validation__model-a__r02","candidates/T09-certificate-validation__model-a__r02/candidate.diff"
B049,"T03-command-injection__model-b__r02","candidates/T03-command-injection__model-b__r02/candidate.diff"
B050,"T08-weak-hash__model-b__r04","candidates/T08-weak-hash__model-b__r04/candidate.diff"
B051,"T12-role-authorisation__model-b__r04","candidates/T12-role-authorisation__model-b__r04/candidate.diff"
B052,"T10-zip-slip__model-b__r02","candidates/T10-zip-slip__model-b__r02/candidate.diff"
B053,"T05-tenant-isolation__model-a__r03","candidates/T05-tenant-isolation__model-a__r03/candidate.diff"
B054,"T08-weak-hash__model-a__r01","candidates/T08-weak-hash__model-a__r01/candidate.diff"
B055,"T11-open-redirect__model-b__r02","candidates/T11-open-redirect__model-b__r02/candidate.diff"
B056,"T05-tenant-isolation__model-b__r04","candidates/T05-tenant-isolation__model-b__r04/candidate.diff"
B057,"T03-command-injection__model-a__r04","candidates/T03-command-injection__model-a__r04/candidate.diff"
B058,"T10-zip-slip__model-a__r05","candidates/T10-zip-slip__model-a__r05/candidate.diff"
B059,"T07-sensitive-logging__model-a__r05","candidates/T07-sensitive-logging__model-a__r05/candidate.diff"
B060,"T08-weak-hash__model-b__r02","candidates/T08-weak-hash__model-b__r02/candidate.diff"
B061,"T04-ssrf__model-a__r04","candidates/T04-ssrf__model-a__r04/candidate.diff"
B062,"T11-open-redirect__model-a__r04","candidates/T11-open-redirect__model-a__r04/candidate.diff"
B063,"T05-tenant-isolation__model-a__r04","candidates/T05-tenant-isolation__model-a__r04/candidate.diff"
B064,"T11-open-redirect__model-a__r02","candidates/T11-open-redirect__model-a__r02/candidate.diff"
B065,"T06-fail-open__model-a__r05","candidates/T06-fail-open__model-a__r05/candidate.diff"
B066,"T06-fail-open__model-b__r02","candidates/T06-fail-open__model-b__r02/candidate.diff"
B067,"T05-tenant-isolation__model-b__r01","candidates/T05-tenant-isolation__model-b__r01/candidate.diff"
B068,"T03-command-injection__model-a__r01","candidates/T03-command-injection__model-a__r01/candidate.diff"
B069,"T01-sql-injection__model-a__r01","candidates/T01-sql-injection__model-a__r01/candidate.diff"
B070,"T03-command-injection__model-b__r03","candidates/T03-command-injection__model-b__r03/candidate.diff"
B071,"T12-role-authorisation__model-b__r05","candidates/T12-role-authorisation__model-b__r05/candidate.diff"
B072,"T06-fail-open__model-b__r01","candidates/T06-fail-open__model-b__r01/candidate.diff"
B073,"T11-open-redirect__model-a__r05","candidates/T11-open-redirect__model-a__r05/candidate.diff"
B074,"T11-open-redirect__model-b__r05","candidates/T11-open-redirect__model-b__r05/candidate.diff"
B075,"T05-tenant-isolation__model-a__r02","candidates/T05-tenant-isolation__model-a__r02/candidate.diff"
B076,"T08-weak-hash__model-b__r03","candidates/T08-weak-hash__model-b__r03/candidate.diff"
B077,"T02-path-traversal__model-b__r02","candidates/T02-path-traversal__model-b__r02/candidate.diff"
B078,"T02-path-traversal__model-a__r01","candidates/T02-path-traversal__model-a__r01/candidate.diff"
B079,"T02-path-traversal__model-a__r05","candidates/T02-path-traversal__model-a__r05/candidate.diff"
B080,"T11-open-redirect__model-a__r03","candidates/T11-open-redirect__model-a__r03/candidate.diff"
B081,"T12-role-authorisation__model-b__r02","candidates/T12-role-authorisation__model-b__r02/candidate.diff"
B082,"T07-sensitive-logging__model-b__r03","candidates/T07-sensitive-logging__model-b__r03/candidate.diff"
B083,"T01-sql-injection__model-a__r02","candidates/T01-sql-injection__model-a__r02/candidate.diff"
B084,"T03-command-injection__model-a__r05","candidates/T03-command-injection__model-a__r05/candidate.diff"
B085,"T04-ssrf__model-b__r01","candidates/T04-ssrf__model-b__r01/candidate.diff"
B086,"T02-path-traversal__model-b__r05","candidates/T02-path-traversal__model-b__r05/candidate.diff"
B087,"T01-sql-injection__model-b__r05","candidates/T01-sql-injection__model-b__r05/candidate.diff"
B088,"T01-sql-injection__model-b__r01","candidates/T01-sql-injection__model-b__r01/candidate.diff"
B089,"T04-ssrf__model-b__r02","candidates/T04-ssrf__model-b__r02/candidate.diff"
B090,"T06-fail-open__model-b__r03","candidates/T06-fail-open__model-b__r03/candidate.diff"
B091,"T03-command-injection__model-b__r05","candidates/T03-command-injection__model-b__r05/candidate.diff"
B092,"T08-weak-hash__model-a__r02","candidates/T08-weak-hash__model-a__r02/candidate.diff"
B093,"T04-ssrf__model-a__r05","candidates/T04-ssrf__model-a__r05/candidate.diff"
B094,"T07-sensitive-logging__model-a__r02","candidates/T07-sensitive-logging__model-a__r02/candidate.diff"
B095,"T09-certificate-validation__model-a__r05","candidates/T09-certificate-validation__model-a__r05/candidate.diff"
B096,"T10-zip-slip__model-a__r03","candidates/T10-zip-slip__model-a__r03/candidate.diff"
B097,"T09-certificate-validation__model-b__r03","candidates/T09-certificate-validation__model-b__r03/candidate.diff"
B098,"T10-zip-slip__model-b__r05","candidates/T10-zip-slip__model-b__r05/candidate.diff"
B099,"T08-weak-hash__model-a__r03","candidates/T08-weak-hash__model-a__r03/candidate.diff"
B100,"T04-ssrf__model-b__r05","candidates/T04-ssrf__model-b__r05/candidate.diff"
B101,"T08-weak-hash__model-a__r05","candidates/T08-weak-hash__model-a__r05/candidate.diff"
B102,"T01-sql-injection__model-b__r04","candidates/T01-sql-injection__model-b__r04/candidate.diff"
B103,"T01-sql-injection__model-a__r04","candidates/T01-sql-injection__model-a__r04/candidate.diff"
B104,"T12-role-authorisation__model-a__r05","candidates/T12-role-authorisation__model-a__r05/candidate.diff"
B105,"T05-tenant-isolation__model-a__r01","candidates/T05-tenant-isolation__model-a__r01/candidate.diff"
B106,"T09-certificate-validation__model-a__r04","candidates/T09-certificate-validation__model-a__r04/candidate.diff"
B107,"T03-command-injection__model-b__r04","candidates/T03-command-injection__model-b__r04/candidate.diff"
B108,"T12-role-authorisation__model-a__r02","candidates/T12-role-authorisation__model-a__r02/candidate.diff"
B109,"T12-role-authorisation__model-b__r01","candidates/T12-role-authorisation__model-b__r01/candidate.diff"
B110,"T09-certificate-validation__model-b__r01","candidates/T09-certificate-validation__model-b__r01/candidate.diff"
B111,"T04-ssrf__model-b__r03","candidates/T04-ssrf__model-b__r03/candidate.diff"
B112,"T08-weak-hash__model-b__r01","candidates/T08-weak-hash__model-b__r01/candidate.diff"
B113,"T04-ssrf__model-a__r03","candidates/T04-ssrf__model-a__r03/candidate.diff"
B114,"T03-command-injection__model-a__r02","candidates/T03-command-injection__model-a__r02/candidate.diff"
B115,"T06-fail-open__model-a__r01","candidates/T06-fail-open__model-a__r01/candidate.diff"
B116,"T07-sensitive-logging__model-b__r05","candidates/T07-sensitive-logging__model-b__r05/candidate.diff"
B117,"T09-certificate-validation__model-b__r04","candidates/T09-certificate-validation__model-b__r04/candidate.diff"
B118,"T02-path-traversal__model-b__r04","candidates/T02-path-traversal__model-b__r04/candidate.diff"
B119,"T06-fail-open__model-b__r05","candidates/T06-fail-open__model-b__r05/candidate.diff"
B120,"T10-zip-slip__model-a__r02","candidates/T10-zip-slip__model-a__r02/candidate.diff"
